"State","CD#","2018 Cook PVI Score","2018 Winner","Party","Dem Votes","GOP Votes","Other Votes","Dem %","GOP %","Other %","Dem Margin%","2016 Clinton Margin","Swing vs. 2016 Prez","2016 Total Votes Cast","Raw Votes vs. 2016 ","Final?"
"Illinois","7","D+38","Danny Davis","D","209,549","29,586","0","87.6%","12.4%","0.0%","75.3%","77.3%","-2.0%","313,933","76.2%",""
"Illinois","8","D+8","Raja Krishnamoorthi","D","124,908","65,576","0","65.6%","34.4%","0.0%","31.1%","21.6%","9.5%","257,872","73.9%",""
"Illinois","9","D+18","Jan Schakowsky","D","218,618","76,216","0","74.1%","25.9%","0.0%","48.3%","44.5%","3.8%","344,539","85.6%",""
"Illinois","10","D+10","Brad Schneider","D","152,411","80,618","0","65.4%","34.6%","0.0%","30.8%","28.9%","1.9%","293,238","79.5%",""
"Illinois","11","D+9","Bill Foster","D","140,907","80,775","0","63.6%","36.4%","0.0%","27.1%","23.3%","3.8%","282,906","78.4%",""
"Illinois","12","R+5","Mike Bost","R","116,985","134,009","7,823","45.2%","51.8%","3.0%","-6.6%","-14.8%","8.2%","316,371","81.8%",""
"Illinois","13","R+3","Rodney Davis","R","131,958","135,680","0","49.3%","50.7%","0.0%","-1.4%","-5.3%","3.9%","324,539","82.5%",""
"Illinois","14","R+5","Lauren Underwood","D","142,261","131,819","0","51.9%","48.1%","0.0%","3.8%","-4.0%","7.8%","338,514","81.0%",""
"Illinois","15","R+21","John Shimkus","R","69,234","177,682","0","28.0%","72.0%","0.0%","-43.9%","-46.2%","2.3%","320,524","77.0%",""
"Illinois","16","R+8","Adam Kinzinger","R","100,789","149,205","0","40.3%","59.7%","0.0%","-19.4%","-17.1%","-2.3%","318,212","78.6%",""
"Illinois","17","D+3","Cheri Bustos","D","139,461","86,218","0","61.8%","38.2%","0.0%","23.6%","-0.7%","24.3%","283,713","79.5%",""
"Illinois","18","R+15","Darin LaHood","R","93,330","193,543","0","32.5%","67.5%","0.0%","-34.9%","-27.3%","-7.6%","345,450","83.0%",""
"Indiana","1","D+8","Peter Visclosky","D","121,800","58,903","0","67.4%","32.6%","0.0%","34.8%","12.5%","22.3%","301,431","59.9%",""
"Indiana","2","R+11","Jackie Walorski","R","103,216","125,230","0","45.2%","54.8%","0.0%","-9.6%","-23.0%","13.4%","277,734","82.3%",""
